Shareholder - Name	Issuer - Name	Security - Report Date	Security - Type	Data Source URL
AMF Pension	Yubico	2025-03-06	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Anocca	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Anticimex Group	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Blackbird Holdings S.à r.l.	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Braathens Regional Airlines	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Einride	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Epidemic Sound	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Exeger Sweden	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Goldonder Investors	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Instabee	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Leax Group	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Lumera	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Oda	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Northvolt	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Parks and Resorts	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Polarium Energy Solutions	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	SmartCella Holding	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Stegra	2025-03-06	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	EQT Future (No.1) SCSp	2025-03-06	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	CSL	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Goodman Group	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Anheuser-Busch Inbev	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Novo Nordisk	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	PLDT	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	UPM-Kymmene	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	L´Oreal	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	TotalEnergies	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Abu Dhabi Commercial Bank	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Emirates NBD Bank	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Emirates Telecommunications Group	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	First Abu Dhabi Bank	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Ashok Leyland	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Axis Bank	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Bharti Airtel	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Colgate-Palmolive India	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Dabur India	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Eicher Motors	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Hero MotoCorp	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Mahindra & Mahindra	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Marico	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Reliance Industries	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	TVS Motor	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Bank Rakyat Indonesia	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Enel	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Kerry Group	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	East Japan Railway	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Fast Retailing	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Komatsu	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Murata Manufacturing	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Pan Pacific International Holdings	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Shin-Etsu Chemical	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Sony Group	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Sumitomo Mitsui Financial	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Bank of Montreal	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Bank of Nova Scotia	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Brookfield Renewle	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	CAE	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Enbridge	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Keyera	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	National Bank of Canada	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Teck Resources US	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Alibaba Group Holding	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	BYD Co-H	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Ping An Insurance Group-H	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Sungrow Power Supply Co	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Tencent Holdings	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Tongcheng Travel Holdings	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Axiata Bhd	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Malayan Banking	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Grupo Financiero Banorte SAB de CV	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	ASML	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	ING Group	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	AstraZeneca	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	RELX	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Nedbank	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	KB Financial Group	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	LG Uplus	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	SinoPac Financial Holdings Co	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Taiwan Semiconductor Manufacturing	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Intouch Holdings	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	BASF	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Deutsche Post	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Siemens	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Zalando	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	3 M	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Accenture	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Adobe Inc	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Advanced Micro Devices	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Aecom Technology	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Aflac	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Albemarle	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Align Technology	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Allstate	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Ally Financial	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Alnylam Pharmaceuticals	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Alphabet A	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Alphabet C	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Amazon.com	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	American Express	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	American Tower	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Amgen	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Annaly Capital Manement	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	APA	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Apple	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Aptiv	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Arch Capital	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Assurant	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	AT&T	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Automatic Data Processing	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Autozone	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Axon Enterprise	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Baker Hughes Co	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Ball	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Bank of America	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Bank of New York Mellon	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Berkshire Hathaway B	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Best Buy	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Biogen	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	BlackRock	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Booking Holdings	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
AMF Pension	Boston Properties	2025-03-06	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2024.pdf
