Shareholder - Name	Issuer - Name	Issuer - Country Code	Security - ISIN	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
ap2	SDIPTECH AB	SE	SE0003756758	2025-12-31	76 748	400 354	x1_000	1,01%	0,90%	https://ap2.se/en/asset-management/holdings/
ap2	SECTRA B	SE	SE0022419784	2025-12-31	321 475	1 280 777	x1_000	0,66%	0,41%	https://ap2.se/en/asset-management/holdings/
ap2	SECURITAS B	SE	SE0000163594	2025-12-31	459 922	3 124 467	x1_000	0,54%	0,38%	https://ap2.se/en/asset-management/holdings/
ap2	SINCH AB	SE	SE0016101844	2025-12-31	147 116	4 674 795	x1_000	0,55%	0,55%	https://ap2.se/en/asset-management/holdings/
ap2	SIVERS SEMICONDUCTORS AB	SE	SE0003917798	2025-12-31	15 419	3 711 777	x1_000	1,25%	1,25%	https://ap2.se/en/asset-management/holdings/
ap2	SKAND.ENSKILDA BANKEN A	SE	SE0000148884	2025-12-31	1 632 474	8 367 371	x1_000	0,41%	0,41%	https://ap2.se/en/asset-management/holdings/
ap2	SKANSKA B	SE	SE0000113250	2025-12-31	13 210	52 358	x1_000	0,01%	0,01%	https://ap2.se/en/asset-management/holdings/
ap2	SKF B	SE	SE0000108227	2025-12-31	698 731	2 842 682	x1_000	0,62%	0,40%	https://ap2.se/en/asset-management/holdings/
ap2	SMART EYE AB	SE	SE0009268279	2025-12-31	11 650	147 941	x1_000	0,39%	0,39%	https://ap2.se/en/asset-management/holdings/
ap2	SSAB SVENSKT STAL B	SE	SE0000120669	2025-12-31	139 320	2 000 000	x1_000	0,20%	0,05%	https://ap2.se/en/asset-management/holdings/
ap2	STORYTEL AB	SE	SE0007439443	2025-12-31	35 490	423 509	x1_000	0,55%	0,55%	https://ap2.se/en/asset-management/holdings/
ap2	SURGICAL SCIENCE SWEDEN AB	SE	SE0014428512	2025-12-31	78 457	2 414 057	x1_000	4,73%	4,73%	https://ap2.se/en/asset-management/holdings/
ap2	SVENSKA HANDELSBANKEN A	SE	SE0007100599	2025-12-31	580 818	4 323 169	x1_000	0,22%	0,22%	https://ap2.se/en/asset-management/holdings/
