Shareholder - Name	Issuer - Name	Issuer - Country Name	Security - ISIN	Security - Report Date	Security - Market Value	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
AP4	ELECTROLUX AB-B	SE	SE0006509949	2026-02-18	137 	1 109 500	9,30	9,50	https://www.ap4.se/en/reports/holdings/
AP4	ELEKTA AB-B SHS	SE	SE0023615885	2026-02-18	38 	34 964 910	0,28	0,20	https://www.ap4.se/en/reports/holdings/
AP4	ELTEL AB	SE	SE0017769847	2026-02-18	44 	14 927 060	0,34	0,11	https://www.ap4.se/en/reports/holdings/
AP4	EMBRACER GROUP AB	SE	SE0025011554	2026-02-18	155 	631 513	2,97	2,97	https://www.ap4.se/en/reports/holdings/
AP4	ENGCON AB	SE	SE0000671711	2026-02-18	230 	523 003	6,31	6,34	https://www.ap4.se/en/reports/holdings/
AP4	ENITY HOLDING AB	SE	SE0015658117	2026-02-18	455 	1 483 471	0,10	0,01	https://www.ap4.se/en/reports/holdings/
AP4	EPENDION AB	SE	SE0003491562	2026-02-18	0 	2 038 912	0,39	0,39	https://www.ap4.se/en/reports/holdings/
AP4	EPIROC AB-B	SE	SE0012853455	2026-02-18	182 	2 436 426	0,04	0,04	https://www.ap4.se/en/reports/holdings/
AP4	EPISURF MEDICAL AB-B SHS	SE	SE0000108656	2026-02-18	136 	6 462 597	0,04	0,03	https://www.ap4.se/en/reports/holdings/
AP4	EQT AB	SE	SE0009922164	2026-02-18	86 	500 000	0,05	0,03	https://www.ap4.se/en/reports/holdings/
AP4	ERICSSON LM-B SHS	SE	SE0011166974	2026-02-18	17 	1 500 000	0,06	0,06	https://www.ap4.se/en/reports/holdings/
AP4	ESSITY AKTIEBOLAG-B	SE	SE0010048884	2026-02-18	623 	325 000	8,46	8,46	https://www.ap4.se/en/reports/holdings/
AP4	FABEGE AB	SE	SE0016785786	2026-02-18	327 	200 000	3,88	2,40	https://www.ap4.se/en/reports/holdings/
AP4	FAGERHULT GROUP AB	SE	SE0016785794	2026-02-18	22 	14 996 493	0,46	0,28	https://www.ap4.se/en/reports/holdings/
AP4	FASTIGHETSBOLAGET EMILSHUS-B	SE	SE0022447348	2026-02-18	205 	6 064 325	7,05	7,05	https://www.ap4.se/en/reports/holdings/
AP4	FASTIGHETSBOLAGET EMILS-PREF	SE	SE0000202624	2026-02-18	4 595 	717 319	3,86	2,41	https://www.ap4.se/en/reports/holdings/
AP4	FLERIE AB	SE	SE0006288015	2026-02-18	1 136 	5 463 853	7,32	7,32	https://www.ap4.se/en/reports/holdings/
AP4	GETINGE AB-B SHS	SE	SE0021148160	2026-02-18	133 	21 000 000	7,60	0,00	https://www.ap4.se/en/reports/holdings/
AP4	GRANGES AB	SE	SE0027077835	2026-02-18	73 	7 796 296	4,56	0,00	https://www.ap4.se/en/reports/holdings/
AP4	GRUVAKTIEBOLAGET VISCARIA	SE	SE0002148817	2026-02-18	88 	6 852 804	2,52	2,52	https://www.ap4.se/en/reports/holdings/
AP4	GRUVAKTIEBOLAGET VISCARI-BTA	SE	SE0000106270	2026-02-18	3 580 	4 111 680	0,60	0,29	https://www.ap4.se/en/reports/holdings/
