Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value	Data Source URL
AP3	Credit Agricole Group	Bond	2026-02-23	623,111	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Daimler Truck Holding AG	Bond	2026-02-23	614,432	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Dell Technologies Inc	Bond	2026-02-23	60,926	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DNB Bank ASA	Bond	2026-02-23	207,671	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	E.ON SE	Bond	2026-02-23	112,605	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EDP SA	Bond	2026-02-23	844,043	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Elekta AB	Bond	2026-02-23	156,899	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EnBW Energie Baden-Wuerttemberg AG	Bond	2026-02-23	496,557	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Enel SpA	Bond	2026-02-23	406,079	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Engie SA	Bond	2026-02-23	471,259	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Epiroc AB	Bond	2026-02-23	135,135	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	European Bank for Reconstruction & Development	Bond	2026-02-23	695,857	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	European Investment Bank	Bond	2026-02-23	5,258,483	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	European Union	Bond	2026-02-23	385,067	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Federal Republic of Germany	Bond	2026-02-23	906,018	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	French Republic	Bond	2026-02-23	2,112,618	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Hafslund AS	Bond	2026-02-23	80,115	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Holmen AB	Bond	2026-02-23	167,661	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Hyundai Motor Co	Bond	2026-02-23	226,202	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Iberdrola SA	Bond	2026-02-23	696,038	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Industrivarden AB	Bond	2026-02-23	132,562	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ING Groep NV	Bond	2026-02-23	224,703	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Inter-American Development Bank	Bond	2026-02-23	739,654	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ISS A/S	Bond	2026-02-23	106,606	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Japan	Bond	2026-02-23	9,788,449	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Johnson Controls International plc	Bond	2026-02-23	115,202	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JPMorgan Chase & Co	Bond	2026-02-23	448,333	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	KFW	Bond	2026-02-23	3,316,474	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Kingdom of Spain	Bond	2026-02-23	1,295,203	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Kingdom of Sweden	Bond	2026-02-23	13,471,678	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
