Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Private Equity - Vintage year	Data Source URL
AP3	Advent International GPE VI	2026-02-19	25	x1_000_000	EUR	2008	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Advent International GPE VIII	2026-02-19	25	x1_000_000	EUR	2016	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Advent International GPE IX	2026-02-19	30	x1_000_000	EUR	2019	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Advent Tech II	2026-02-19	40	x1_000_000	USD	2022	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AlpInvest Co Invest VII	2026-02-19	50	x1_000_000	USD	2017	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AlpInvest Co Invest VIII	2026-02-19	50	x1_000_000	USD	2021	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altas Partners Holdings II	2026-02-19	50	x1_000_000	USD	2019	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altas Partners Holdings III	2026-02-19	50	x1_000_000	USD	2023	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altor Fund II	2026-02-19	30	x1_000_000	EUR	2006	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altor Fund III	2026-02-19	24	x1_000_000	EUR	2009	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altor Fund IV	2026-02-19	35	x1_000_000	EUR	2014	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altor Fund V	2026-02-19	40	x1_000_000	EUR	2019	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Altor Fund VI	2026-02-19	40	x1_000_000	EUR	2022	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Apollo Overseas Partners VI	2026-02-19	25	x1_000_000	USD	2006	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Aquiline Financial Services Fund IV	2026-02-19	50	x1_000_000	USD	2019	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Aquiline Financial Services Fund V	2026-02-19	50	x1_000_000	USD	2024	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	Ara Partners Fund II	2026-02-19	50	x1_000_000	USD	2021	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
