Afghanistan
Albanië
Algerije
Amerikaans-Samoa
Amerikaanse Maagdeneilanden
Amerikaanse ondergeschikte afgelegen eilanden
Andorra
Angola
Anguilla
Antarctica
Antigua en Barbuda
Argentinië
Armenië
Aruba
Australië
Azerbeidzjan
Bahama's
Bahrein
Bangladesh
Barbados
Belarus; Wit-Rusland
België
Belize
Benin
Bermuda
Bhutan
Bolivia
Bosnië en Herzegovina
Botswana
Bouveteiland
Brazilië
Brits Territorium in de Indische Oceaan
Britse Maagdeneilanden
Brunei
Bulgarije
Burkina Faso
Burundi
Cambodja
Canada
Caymaneilanden
Centraal-Afrikaanse Republiek
Chili
China
Christmaseiland
Cocoseilanden
Colombia
Comoren
Congo
Cookeilanden
Costa Rica
Cuba
Cyprus
Democratische Republiek Congo
Denemarken
Djibouti
Dominica
Dominicaanse Republiek
Duitsland
Ecuador
Egypte
El Salvador
Equatoriaal-Guinea
Eritrea
Estland
Ethiopië
Faeröer
Falklandeilanden
Fiji
Filipijnen
Finland
Frankrijk
Frans-Guyana
Frans-Polynesië
Franse Gebieden in de zuidelijke Indische Oceaan
Gabon
Gambia
Georgië
Ghana
Gibraltar
Grenada
Griekenland
Groenland
Guadeloupe
Guam
Guatemala
Guinee
Guinee-Bissau
Guyana
Haïti
Heard- en McDonaldeilanden
Honduras
Hongarije
Hongkong
IJsland
Ierland
India
Indonesië
Irak
Iran
Israël
Italië
Ivoorkust
Jamaica
Japan
Jemen
Joegoslavië
Jordanië
Kaapverdië
Kameroen
Kazachstan
Kenia; Kenya
Kirgizië; Kirgizstan
Kiribati
Koeweit
Kroatië
Laos
Lesotho
Letland
Libanon
Liberia
Libië
Liechtenstein
Litouwen
Luxemburg
Macau
Madagaskar
Malawi
Maldiven
Maleisië
Mali
Malta
Marokko
Marshalleilanden
Martinique
Mauritanië
Mauritius
Mayotte
Mexico
Micronesia
Moldavië
Monaco
Mongolië
Montserrat
Mozambique
Myanmar
Namibië
Nauru
Nederland
Nederlandse Antillen
Nepal
Nicaragua
Nieuw-Caledonië
Nieuw-Zeeland
Niger
Nigeria
Niue
Noord-Korea
Noordelijke Marianen
Noorwegen
Norfolkeiland
Oekraïne
Oezbekistan
Oman
Oost-Timor
Oostenrijk
Pakistan
Palau
Panama
Papoea-Nieuw-Guinea
Paraguay
Peru
Pitcairneilanden
Polen
Portugal
Puerto Rico; Porto Rico
Qatar
Réunion
Roemenië
Rusland
Rwanda
Saint Kitts en Nevis
Saint Lucia
Saint Vincent en de Grenadines
Saint-Pierre en Miquelon
Salomonseilanden
Samoa
San Marino
Sao Tomé en Principe
Saudi-Arabië; Saoedi-Arabië
Senegal
Seychellen
Sierra Leone
Singapore
Sint-Helena
Slovenië
Slowakije; Slovakije
Somalië
Spanje
Sri Lanka
Sudan; Soedan
Suriname
Svalbard en Jan Mayen
Swaziland
Syrië
Tadzjikistan
Taiwan
Tanzania
Thailand
Togo
Tokelau-eilanden
Tonga
Trinidad en Tobago
Tsjaad
Tsjechië
Tunesië
Turkije
Turkmenistan
Turks- en Caicoseilanden
Tuvalu
Uganda; Oeganda
Uruguay
Vanuatu
Vaticaanstad
Venezuela
Verenigd Koninkrijk
Verenigde Arabische Emiraten
Verenigde Staten
Vietnam
Voormalige Joegoslavische Republiek Macedonië
Wallis en Futuna
Westelijke Sahara
Zambia
Zimbabwe
Zuid-Afrika
Zuid-Georgië en Zuidelijke Sandwicheilanden
Zuid-Korea
Zweden
Zwitserland
Afrika
Azië
Europa
Noord-Amerika
Oceanië
Zuid-Amerika
Totaal
