Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value	Data Source URL
AP3	ENBW ENERGIE BADEN-WUERTTEMBERG AG	Corporates	2025-08-26	114,690	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENBW ENERGIE BADEN-WUERTTEMBERG AG	Corporates	2025-08-26	118,354	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENBW ENERGIE BADEN-WUERTTEMBERG AG	Corporates	2025-08-26	235,243	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	2025-08-26	40,479	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	2025-08-26	56,602	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	2025-08-26	63,760	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	2025-08-26	70,850	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	2025-08-26	82,909	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	2025-08-26	139,422	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	2025-08-26	227,905	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	2025-08-26	336,417	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENGIE SA	Corporates	2025-08-26	117,321	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENGIE SA	Corporates	2025-08-26	127,879	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENGIE SA	Corporates	2025-08-26	234,972	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EPIROC AB	Corporates	2025-08-26	133,555	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EQUINIX INC	Corporates	2025-08-26	112,763	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEMSÖ FASTIGHETS AB	Corporates	2025-08-26	99,205	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEMSÖ FASTIGHETS AB	Corporates	2025-08-26	104,996	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEMSÖ FASTIGHETS AB	Corporates	2025-08-26	152,951	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEMSÖ FASTIGHETS AB	Corporates	2025-08-26	153,395	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HOLMEN AB	Corporates	2025-08-26	82,595	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
