Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	BRAVIDA HOLDING AB	EQUITY	SE0007491303	2025-08-26	200,245	SEK		2104523	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BURE EQUITY AB	EQUITY	SE0000195810	2025-08-26	140,384	SEK		493267	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CAMURUS AB	EQUITY	SE0007692850	2025-08-26	305,168	SEK		503163	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CASTELLUM AB	EQUITY	SE0000379190	2025-08-26	632,081	SEK		5095375	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CELLAVISION AB	EQUITY	SE0000683484	2025-08-26	73,895	SEK		406464	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CIBUS NORDIC REAL ESTAT PUBL	EQUITY	SE0010832204	2025-08-26	233,575	SEK		1249063	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CINT GROUP AB	EQUITY	SE0015483276	2025-08-26	4,698	SEK		600000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	COOR SERVICE MANAGEMENT	EQUITY	SE0007158829	2025-08-26	120,701	SEK		2914080	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CTEK AB	EQUITY	SE0016798763	2025-08-26	9,456	SEK		600000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DOMETIC GROUP AB	EQUITY	SE0007691613	2025-08-26	215,117	SEK		5435000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DYNAVOX GROUP AB	EQUITY	SE0017105620	2025-08-26	152,826	SEK		1366957	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELANDERS AB-B SHS	EQUITY	SE0000119299	2025-08-26	10,822	SEK		185937	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELECTROLUX AB-B	EQUITY	SE0016589188	2025-08-26	35,322	SEK		525000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELECTROLUX PROFESSIONAL AB-B	EQUITY	SE0013747870	2025-08-26	57,958	SEK		865042	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELEKTA AB-B SHS	EQUITY	SE0000163628	2025-08-26	75,324	SEK		1541000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EMBRACER GROUP AB	EQUITY	SE0023615885	2025-08-26	98,690	SEK		914131	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASMODEE GROUP AB-B	EQUITY	SE0023615638	2025-08-26	201,144	SEK		1609155	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENGCON AB	EQUITY	SE0017769847	2025-08-26	237,226	SEK		2630000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EPIROC AB-A	EQUITY	SE0015658109	2025-08-26	318,575	SEK		1551000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EPIROC AB-B	EQUITY	SE0015658117	2025-08-26	1,302,663	SEK		7197032	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EQT AB	EQUITY	SE0012853455	2025-08-26	2,223,004	SEK		7037049	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ESSITY AKTIEBOLAG-B	EQUITY	SE0009922164	2025-08-26	1,228,943	SEK		4690624	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EVOLUTION AB	EQUITY	SE0012673267	2025-08-26	1,703,247	SEK		2266162	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FABEGE AB	EQUITY	SE0011166974	2025-08-26	19,470	SEK		230000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FAGERHULT GROUP AB	EQUITY	SE0010048884	2025-08-26	181,136	SEK		4282168	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FASTIGHETS AB BALDER-B SHRS	EQUITY	SE0017832488	2025-08-26	294,230	SEK		4187726	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FASTIGHETSBOLAGET EMILSHUS-B	EQUITY	SE0016785786	2025-08-26	175,115	SEK		3367595	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GARO AB	EQUITY	SE0015812417	2025-08-26	18,240	SEK		912000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GETINGE AB-B SHS	EQUITY	SE0000202624	2025-08-26	381,250	SEK		2009754	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GRANGES AB	EQUITY	SE0006288015	2025-08-26	293,155	SEK		2416778	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
