Shareholder - Name	Issuer - Name	Security - Report Date	Security - Type	Data Source URL
AMF Pension	Anocca	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Anticimex	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Blackbird Holdings	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Braathens Regional Airlines	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Einride	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Epidemic Sound	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Exeger Sweden	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Goldonder Investors	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Instabee Holding	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Leax Group	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Lumera	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Oda	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Parks and Resorts	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Polarium Energy Solutions	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	SmartCella Holding	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Stegra	2026-03-17	Private Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	EQT Future (No.1) SCSp	2026-03-17	Swedish Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	CSL	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Anheuser-Busch Inbev	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Nokia	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	AXA	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Saint Gobain	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	TotalEnergies	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Ashok Leyland	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Axis Bank	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Bharti Airtel	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Colgate-Palmolive India	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Dabur India	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Eicher Motors	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Hero MotoCorp	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Mahindra & Mahindra	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Marico	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Reliance Industries	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	TVS Motor	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Kerry Group	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	East Japan Railway	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	KDDI	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Shin-Etsu Chemical	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Sony Group	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Sumitomo Mitsui Financial	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Agnico-Eagle Mines	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Imperial Oil	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Wheaton Precious Metals	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Alibaba Group Holding	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	BYD Co-H	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Tencent Holdings	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	ASML	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	ING Group	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	AstraZeneca	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Lloyds Banking Group	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	National Grid	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Prudential	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	RELX	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	KB Financial Group	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Samsung Electronics	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Taiwan Semiconductor Manufacturing	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Deutsche Post	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Rheinmetall	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	SAP	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Siemens	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Adobe Inc	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Aflac	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Allstate	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Alphabet	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Amazon	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	American Water Works	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	AON	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Apple	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Applovin	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Atmos Energy	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Autozone	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Baker Hughes Co	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Bank of America	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Berkshire Hathaway B	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Boston Scientific	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Broadcom	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Capital One Financial	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Cardinal Health	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Cencora	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Cigna Group	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Citigroup	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Coca-Cola	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Colgate-Palmolive	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Comfort Systems USA	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Consolidated Edison	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Core & Main	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
AMF Pension	Costco Wholesale	2026-03-17	Foreign Stock	https://www.amf.se/globalassets/pdf/rapporter/innehav_2025.pdf
