Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Stock - Percent Ownership	Data Source URL
BPL Pension	Bayerische Motoren Werke	2024-06-04	6.878	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Becton Dickinson	2024-06-04	5.976	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Berlin-Hannoversche Hypothekenbank AG	2024-06-04	10.879	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	Bertelsmann AG	2024-06-04	4.624	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Blackstone Holdings Fina	2024-06-04	690	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	BLACKSTONE PP EUR HOLD	2024-06-04	3.934	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	BNP Paribas	2024-06-04	29.895	x1_000	EUR	0,18%	https://www.bplpensioen.nl/beleggen
BPL Pension	BNP Paribas Fortis SA	2024-06-04	5.770	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Bouygues SA	2024-06-04	1.456	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	BP Captial Markets PLC	2024-06-04	22.347	x1_000	EUR	0,14%	https://www.bplpensioen.nl/beleggen
BPL Pension	Bpce Sa	2024-06-04	5.533	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	BPCE Sfh - Societe de Fi	2024-06-04	25.184	x1_000	EUR	0,15%	https://www.bplpensioen.nl/beleggen
BPL Pension	British Telecommunications PLC	2024-06-04	98	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	CA AUTOBANK SPA	2024-06-04	7.810	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	CADENT FINANCE PLC	2024-06-04	2.995	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Caisse Francaise De Financemen	2024-06-04	5.266	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Caixabank	2024-06-04	3.161	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Cajamar Caja Rural SCC	2024-06-04	4.537	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Carrefour SA	2024-06-04	4.471	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	CASTELLUM AB	2024-06-04	3.623	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	CBRE GI OPEN END FUND	2024-06-04	4.784	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	CELANESE US HOLDINGS LLC	2024-06-04	4.895	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Cie Financement Foncier	2024-06-04	11.397	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	CK Hutchison Holdings Ltd	2024-06-04	2.504	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Coca-Cola Co	2024-06-04	10.636	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	Coca-Cola European Partners Plc	2024-06-04	3.490	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Coca-Cola HBC Finance BV	2024-06-04	3.320	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Colgate-Palmolive Co	2024-06-04	1.223	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	COLOPLAST FINANCE BV	2024-06-04	5.115	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	COMMERZBANK AG	2024-06-04	28.948	x1_000	EUR	0,18%	https://www.bplpensioen.nl/beleggen
BPL Pension	Commonwealth Bank Australia	2024-06-04	1.384	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Compagnie de Saint-Gobain S.A.	2024-06-04	4.974	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Compagnie Financiere Richemont	2024-06-04	2.343	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Credit Agricole Covered Bonds	2024-06-04	17.888	x1_000	EUR	0,11%	https://www.bplpensioen.nl/beleggen
BPL Pension	CREDIT AGRICOLE SA	2024-06-04	16.682	x1_000	EUR	0,10%	https://www.bplpensioen.nl/beleggen
BPL Pension	Credit Logement SA	2024-06-04	773	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Credit Mutuel Arkea	2024-06-04	4.253	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	CRELAN SA	2024-06-04	3.437	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	CROMWELL EREIT LU FINCO	2024-06-04	4.427	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Danske Bank A/S	2024-06-04	10.924	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	DEUTSCHE ANN FIN BV	2024-06-04	4.207	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Deutsche Bahn Finance Bv	2024-06-04	7.199	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	Deutsche Bank AG	2024-06-04	15.838	x1_000	EUR	0,10%	https://www.bplpensioen.nl/beleggen
BPL Pension	Deutsche Boerse AG	2024-06-04	11.141	x1_000	EUR	0,07%	https://www.bplpensioen.nl/beleggen
BPL Pension	DH Europe Finance SA	2024-06-04	5.681	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	DnB ASA	2024-06-04	12.486	x1_000	EUR	0,08%	https://www.bplpensioen.nl/beleggen
BPL Pension	DVI DT VERMOEGENS IMMVWL	2024-06-04	3.534	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	East Japan Railway Co	2024-06-04	3.444	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Edenred	2024-06-04	3.466	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Overzicht beleggingen per 31-12-2023 Pagina 1Electricite de France	2024-06-04	7.834	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Elia System Operator SA/NV	2024-06-04	1.466	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Elis sa	2024-06-04	581	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Enel SpA	2024-06-04	7.873	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Enexis Holding BV	2024-06-04	1.289	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Engie	2024-06-04	7.169	x1_000	EUR	0,04%	https://www.bplpensioen.nl/beleggen
BPL Pension	EON AG	2024-06-04	8.916	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	ESB Finance Limited	2024-06-04	1.522	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	ESSITY AB	2024-06-04	1.161	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Eurofins Scientific	2024-06-04	491	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Eurogrid Gmbh	2024-06-04	5.327	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	EVERETT SPINCO INC	2024-06-04	8.439	x1_000	EUR	0,05%	https://www.bplpensioen.nl/beleggen
BPL Pension	Exxon mobil corp	2024-06-04	523	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	Fairfax Financial Holdings Ltd	2024-06-04	4.186	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	FASTIGHETS AB BALDER	2024-06-04	293	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
BPL Pension	FIDELIDADE CIA SEGUROS	2024-06-04	5.157	x1_000	EUR	0,03%	https://www.bplpensioen.nl/beleggen
BPL Pension	Fluviu System OP	2024-06-04	2.721	x1_000	EUR	0,02%	https://www.bplpensioen.nl/beleggen
BPL Pension	Fonciere Des Regions	2024-06-04	1.883	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Fortum Oyj	2024-06-04	1.849	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Fresenius SE	2024-06-04	1.928	x1_000	EUR	0,01%	https://www.bplpensioen.nl/beleggen
BPL Pension	Gecina	2024-06-04	665	x1_000	EUR	0,00%	https://www.bplpensioen.nl/beleggen
