Shareholder - Name	Issuer - Name	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
Vervoer	Alexandria   Real Estate	31-12-2024	1.803	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Alfa SAB  de  CV	31-12-2024	1.947	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Alfresa  Holdings  Corp	31-12-2024	745	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Alibaba  Group   Holding  Ltd	31-12-2024	33.442	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Alior Bank  SA	31-12-2024	213	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	All Nippon  Airways   Co Ltd	31-12-2024	354	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Allfunds  Group   Plc	31-12-2024	6.867	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Allianz SE	31-12-2024	1.209	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Allison Transmission    Holdings	31-12-2024	8.536	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	ALLSTATE   CORP	31-12-2024	8.778	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	ALLY  FINANCIAL    INC	31-12-2024	2.194	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Alnylam   Pharmaceuticals    Inc	31-12-2024	678	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Alphabet   Inc	31-12-2024	176.529	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	 Queensland	31-12-2024	2.759	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Alstom   SA	31-12-2024	4.282	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Amada    Co Ltd	31-12-2024	1.428	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Amadeus    Capital Markets	31-12-2024	28.583	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Amazoncom      Inc	31-12-2024	224.131	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	America   Movil  SAB  de CV	31-12-2024	9.748	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	 	31-12-2024	2.293	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	American   Apparel   Inc	31-12-2024	16.191	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	American   Financial  Group	31-12-2024	4.778	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	American   Tower   Corp	31-12-2024	503	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Ameriprise   Financial Inc	31-12-2024	9.134	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Amerisourcebergen      Corp	31-12-2024	4.081	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Ametek   Inc	31-12-2024	8.579	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Amgen    Inc	31-12-2024	3.558	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Amlogic   Shanghai  Co  Ltd	31-12-2024	2 9	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	AMMB     Holdings  Bhd	31-12-2024	1.193	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Amphenol    Corp	31-12-2024	22.099	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Amplifon   S,p,A,	31-12-2024	487	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Amvis   Holdings  Inc	31-12-2024	745	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	ANALOG    DEVICES	31-12-2024	16.518	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Andritz  AG	31-12-2024	935	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Anglogold   Ashanti  Plc	31-12-2024	2.991	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Anheuser   Busch   InBev  NV	31-12-2024	17.333	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Annaly  Capital  Management     Inc	31-12-2024	1.909	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	ANTOFAGASTA       PLC	31-12-2024	268	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Aon  PLC	31-12-2024	2.388	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	APA  Group	31-12-2024	1.394	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Apollo  Investment   Management      LLC	31-12-2024	9.209	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Apple  Inc	31-12-2024	353.689	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Arch  Capital Group   LTD	31-12-2024	8.514	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Midland     Co	31-12-2024	5.095	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
Vervoer	Ares  Management     LP	31-12-2024	10.223	x1	EUR	https://www.pfvervoer.nl/over-ons/beleggen/spreiden-van-beleggingen
