,Company,Market Value (x €1.000)
175,BNP  Paribas,19.857
176,BOE  Technology    Group   Co Ltd,5 0
177,Booking   Holdings  Inc,33.395
178,Borgwarner    Inc,2.944
179,Boston   Properties  LP,6.206
180,BOSTON    SCIENTIFIC   CORP,49.615
181,BP  Captial Markets   PLC,5.333
182,Brambles   Finance  PLC,5.577
183,Bread  Financial  Holdings  Inc,3.432
184,Brenntag   AG,2
185,Bridgestone   Corp,9.506
186,The,2.869
187,Bristol Myers   Squibb  Company,28.633
188,BRITISH  LAND   CO  PLC,7
189,Broadcom    Inc,55.037
190,Broadridge   Financial  Solutions,1.687
191,Brother  Industries  Ltd,2.347
192,  Brown  Inc,6.006
193,Forman     Corporation,1.055
194,BUNGE    GLOBAL   SA,3.019
195,BURBERRY     GROUP    PLC,3.238
196,CA  Immobilien   Anlagen   AG,645
197,Caitong  Securities  Co Ltd,149
198,Caja Ahorros   Barcelona,2.540
199,Cambricon    Technologies   Corp  Lt,8 7
200,Canadian   Pacific Railway  Ltd,1.746
201,Class  A,2.059
202,Canara  Bank,1.113
203,CANCOM     AG,2 6
204,Canon   Electronics  Inc,8.430
205,Capcom    Co Ltd,1.354
206,Capgemini   SE,8.886
207,Capital One   Bank  Usa  Na,9.773
208,CapitaLand   Integrated  Commerci,4.621
209,CapLand   Ascendas   REIT,3.952
210,Capri  Holdings  Ltd,683
211,CAR  Group   Ltd,953
212,S,6 2
213,Catcher  Technology    Co Ltd,1.709
214,Cathay  Financial  Holding  Co  Lt,11.621
215,CATL,7.831
216,CBOE   GLOBAL   MKTS   INC,671
217,CCHN,116
218,CCR  SA,5.086
219,CDW   CORP,1.170
220,Cellebrite DI Ltd,1.140
221,Cencosud    SA,2.136
222,Central  Japan  Railway  Co,9.870
223,CENTURY    HUATONG,173
224,CF Industries  Holdings  Inc,12.374
225,CGI  Group  Inc,2.319
226,Chailease  Holding   Co Ltd,1.702
227,Changjiang   Securities Co  Ltd,139
228,Charles  Schwab   Corp,20.064
229,Check  Point  Software  Technolog,4.005
230,Chennai   Petroleum   Corp  Ltd,4.134
231,Chiba  Bank  Ltd,437
232,China  Lodging  Group   Ltd,3.028
233,China  Medical   System  Holdings,6.855
234,China  Merchants    Bank  Co Ltd,19.738
235,China  Molybdenum      Co Ltd,230
236,China  Resources   Mixc  Lifestyle,5.777
237,CHINASOFT,4 5
238,CHINT   ELECTRICS,1 6
239,Chipotle  Mexican   Grill Inc,9.596
240,Chongqing    Rural Commercial    Ban,2 1
241,Chubb   Corporation,30.470
242," Banking   Co, Ltd,",12.805
243, Dwight   Co Inc,1.546
244,Ciba  Special Chem   Fin Lux,3.024
245,Cie Financiere  Richemont    SA,15.944
246,CIGNA   CORP,10.322
247,CIMB   Group  Holdings   Bhd,6.564
248,Cincinnati  Finl Corp,1.764
249,"Cintas  Corporation   No,",2
250,Cisco  Systems  Inc,19.823
251,Citizens Financial  Group  Inc,5.908
252,CJ CheilJedang   Corp,887
253,CK  Hutchison   Holdings  Ltd,1.623
254, Rice LLC,2.434
255,Clorox  Company,3.416
256,CLOUDFLARE     INC,5.278
257,Cme   Group  Inc,2.868
258,CNH   INDUSTRIAL    FIN EUR  S,5.323
259, Serv,496
260,Cola   Co,24.981
261,Cognizant   Technology   Solutions,3.257
262,COINBASE    GLOBAL    INC,1.335
263,Coles  Group  Ltd,1.896
264,Palmolive    Co,31.107
265,Colruyt  SA,3 1
266,Comcast   Cable  Comm    Hldgs,34.860
267,Comerica   Bank,3.835
268,T,925
269,Commercial    International  Bank,5.802
270,Commerzbank      AG,1
271,Commonwealth       Bank  Australia,20.795
272,"Gobain   S,A,",4.306
273,Compal   Electronics  Inc,4.139
274,"Computershare     Ltd,",1.257
275,Comsys   Holdings   Corp,1.247
276,CONAGRA     FOODS    INC,9.600
277,Concordia   Financial Group   Ltd,726
278,CONSTELLATION      BRANDS    INC,1.370
279,Constellation  Energy   Corp,7.704
280,Can,588
281,CONTACT     ENERGY   LTD,904
282,Continental   AG,4 7
283,ConvaTec   Group   PLC,6.138
284,Copart  Inc,726
285,Corebridge   Financial  Inc,3.074
286,CORNING    INC,5.827
287,COSCO    SHIPPING   Holdings  Co  Ltd,740
288,CoStar  Group   Inc,5.816
289,Costco  Wholesale    Corp,19.353
290,Coupang    Inc,1.856
291,Coway   Co  Ltd,5.968
292,Credicorp   Ltd,7.267
293,CREDIT   AGRICOLE    SA,11.635
294,Croda  International  Plc,4.972
295,Crowdstrike   Holdings  Inc,9.836
296,CSL  Ltd,19.583
297,CSX  CORP,753
298,CTS  EVENTIM    AG,4 7
299,Cukurova   Finance  International,1.749
300,Cummins    India Ltd,2.103
301,CVS  Health  Corp,13.842
302,CYBERAGENT      INC,5.941
303,CyberArk   Software   Ltd,14.845
304,Cyfrowy   Polsat SA,2 4
305,DAHUA    INC,193
306,Dai Nippon   Printing  Co Ltd,2.056
307,Daifuku  Co  Ltd,6.796
308,Daimaru   Inc,1.940
309,Dainippon   Screen  Manufacturing,543
310,Daiwa   House  Industry  Co  Ltd,15.083
311,Daiwa   Securities Group   Inc,3.085
312,S,6.250
313,Dassault  Systemes   SE,19.992
314,Milano     SpA,145
315,DAVITA   HEALTHCARE      PARTNE,2.715
316,DBS  Group   Holdings  Ltd,22.477
317,Deckers   Outdoor   Corp,467
318, CO,521
319,Dell Technologies   Inc,7.234
320,Delta  Air Lines,4.908
321,Delta  Electronics Inc,11.578
322,DELUXE   CORP,2.031
323,Denso   Corp,14.281
324,Dentsu   Inc,836
325,Deutsche   Bank  AG,2
326,Deutsche   Boerse  AG,36.567
327,Deutsche   Telekom   AG,32.595
328,DexCom    Inc,695
329,DH  Europe   Finance  SA,25.158
330,Diageo  PLC,16.933
331,Ieteren  SA,2.550
332,Digital Realty Trust  Lp,17.641
333,DINEEQUITY     INC,805
334,Disco  Corp,14.789
335,DLF  Ltd,1.334
336,DMG    Mori  Seiki Co Ltd,3.939
337,Dollarama   Inc,6.372
338,Dongbu    Insurance  Co  Ltd,7.755
339,DOORDASH      INC,25.008
340,Doosan   Bobcat   Inc,1.654
341,Dr Ing hc  F Porsche  AG,2.269
342,DRAFTKINGS     INC,333
343,Dropbox   Inc,3.261
344,FIRMENICH       AG,18.035
345,DXC  Technology    Co,1.692
346,EAST  JAPAN   RAILWAY    CO,25.028
347,EAST  MONEY     INFORMATION      CO  LTD,447
348,Ecolab  Inc,3.719
349,Edison  International,17.160
350,Edwards   Lifesciences  Corp,1.554
351,Eisai Co,3.212
352,Electronic  Arts Inc,5.519
353,Element   Fleet Management      Corp,3.740
354,ELEVANCE    HEALTH    INC,16.028
355, Co,30.934
356,NV,1.279
357,Elisa OYJ,1.169
358,Embraer   SA,2.451
359,Emcor   Group   Inc,12.411
360,eMemory     Technology   Inc,593
361, ,1
362,Empresas   CMPC    SA,496
363,Empresas   Juan  Yarur  SAC,262
364,Australia,2.140
365,Enel  SpA,3 4
366,Energizer  Holdings  Inc,2.729
367,Eni SpA,19.290
368,ENN   NATURAL    GAS  CO  LTD,434
369,Enphase   Energy  Inc,5.209
370,EON   AG,9.586
371,Eoptolink  Technology    Inc Ltd,3 4
372,EPAM   Systems   Inc,249
373,EPIROC   AB,11.017
374,Equifax  Inc,442
375,Equinix  Inc,23.038
376,Equinor  ASA,2.287
377,Equity  Residential,1.216
378,Erie Indemnity   Co,1.156
379,Essent  Group   Ltd,1.714
380,Essex  Portfolio LP,2.455
381,EssilorLuxottica,30.321
382,Essity AB,3.494
383,  The,938
384,EURONEXT     NV,12.048
385,EVE  ENERGY    CO  LTD,120
386,Everbright  Securities  Co Ltd,122
387,Everest  Group   Ltd,3.755
388,EVN  AG,4
389,Exel Ltd,153
390,Exelixis Inc,2.605
391,EXOR   NV,2.694
392,Experian  Finance   PLC,35.623
393,"  Insurance  Corp,  Sydney",2.383
394,Exxon  Mobil   Corp,40.615
395, Networks    Inc,4.353
396,Factset  Research  Systems   Inc,173
397,Fair Isaac Corp,6.874
398,Fairfax Financial  Holdings  Ltd,4.943
399,Fanuc,18.952
400,FAR  EAST  HORIZON    LTD,2.094
401,Far Eastern  New   Century  Corp,1.356
402,Fast Retailing  Co Ltd,13.667
403,FASTENAL    CO,8.903
404,FED  HOME    LN DISCOUNT     NT,10.200
405,Federal  National  Mortgage    Asso,16.654
406,Federative   Republic  of Brazil,15.277
407,FedEx  Corp,13.238
408,Ferguson   PLC,4.954
409,Ferrari NV,3.660
410,Ferrovial  SA,11.222
411,Fidelis Insurance  Holdings   Ltd,1.770
412,Fifth Third Ban  Corp,11.530
413,First,158
414,NC,520
415,First Horizon  National  Corp,6.271
416,First Solar Inc,7.220
417,FISERV  INC,39.461
418,  Paykel  Healthcare  Cor,3.156
419,FLEXTRONICS     INTL LTD,4.549
420,FLUTTER   ENTERTAINMENT        PLC,16.386
421,FMG   RESOURCES     AUG,2006
422,FOCUS   MEDIA,2 2
423,FONCIERE    DES  REGIONS,1.605
424,FORD   MOTOR    COMPANY,4.699
425,Fortinet  Inc,9.087
426,Fortis Healthcare   Ltd,2.883
427,Fox  Entertainment   Group   Inc,9.544
428,Foxconn   Industrial Internet  Co,265
429,Freee  KK,3.200
430,  Co,2.723
431,Fresenius  SE,3.730
432,Fuji Electric Holdings  Co Ltd,1.132
433,FUJIFILM   Holdings  Corp,16.060
434,Fujisawa  Pharmaceutical    Co  Ltd,3.837
435,Futu  Holdings  Ltd,314
436,GARMIN    LTD,7.352
437,Gas  Natural  SDG  SA,3 1
438,GDK   Family Trust,4.078
439,GE  Vernova   LLC,10.942
440,GEA  GROUP    AG,8.509
441,Geberit  AG,10.024
442,Gecina,2.444
443,General   Mills Inc,9.880
444,GENERAL    MOTORS     FINL CO,18.267
445,GEORGE    WESTON     LTD,883
446,GF  Securities Co  Ltd,345
447,GIGADEVICE     SEMICONDUCTOR       BEIJI,6 5
448,Gilead  Sciences  Inc,26.467
449,Givaudan   SA,5.750
450,Gjensidige  Forsikring  ASA,1.749
451,GLOBAL    PAYMENTS     INC,2.486
452,e  Online  Ltd,284
453,Globalwafers   Co  Ltd,4.731
454,Globant   SA,11.414
455,GMO    internet Inc,6.373
456,Godrej  Properties  Ltd,5.286
457,GoerTek   Inc,244
458,Goldman    Sachs  Group  Inc,16.094
459,Goodman     Funding  Pty Ltd,13.534
460,GoTo   Gojek  Tokopedia   Tbk  PT,4.092
461,GPT  GROUP,1.698
462,GRAB   HOLDINGS    LTD,833
463,Graphic  Packaging   Holding  Co,2.704
464,Gree  Electric Appliances   Inc,6.344
465,Greentown    Service  Group   Co Ltd,778
466,Griffon  Corp,2.712
467,GROUPE    BRUXELLES    LAMBERT     SA,142
468,Groupe   Eurotunnel   SA,2.654
469,Grupo   Aeroportuario   del CentroV,551
470,Grupo   Aeroportuario   del Pacifi,5.965
471,Grupo   Financiero  Banorte   SAB  d,16.770
472,Grupo   Financiero  Inbursa  SAB  d,211
473,Grupo   Mexico   SAB  de CV,3.289
474,GUIDEWIRE     SOFTWARE     INC,2.034
475,S,8
476,Haleon   PLC,3.889
477,HALLIBURTON      CO,6.764
478,Hamamatsu     Photonics   KK,2.742
479,Hana   Financial Group   Inc,10.070
480,Hankook    Tire Co Ltd,4.290
481,DAVIDSON       INC,1.973
482,Harmony    Gold  Mining  Co  Ltd,588
483,HDFC   LIFE INSURANCE     CO  LTD,6.849
484,HDGF,4 3
485,Healthpeak   Properties   Inc,1.938
486,HEIDELBERGCEMENT        FINANCE,1 3
487,Heineken   Holding   NV,11.725
488,  Payne  Inc,1.698
489,Henderson    Land  Development     Co,2.453
490,Hengan   International  Group   Co,7.077
491,  CO  KGAA,2.394
492,HERMES    INTERNATIONAL,1.458
493,Hero  MotoCorp    Ltd,2.097
494,HERSHEY    CO,1.220
495,Hexagon   AB,171
496,Hilton  Worldwide   Finance,14.629
497,Hindalco   Industries Ltd,5.232
498,Hindustan   Aeronautics   Ltd,9.892
499,Hiscox  Ltd,8.586
500,Hisense  HA,278
501,Hitachi  Construction   Machinery,308
502,Hitachi  Ltd,49.542
503, HKT Ltd,1.827
504,Hoa  Phat  Group   JSC,2.900
505,Hochtief  AG,3
506,Holmen    AB,1.592
507,HOLOGIC    INC,4.692
508,Home   Depot   Inc,35.192
509,Hon  Hai  Precision Industry  Co,13.414
510,Honda   Motor   Co Ltd,4.839
511,Hong   Kong  Exchanges   and  Clearing,6.847
512,Hongfa   Technology   Co  Ltd,4.980
513,Hongkong    Land  Holdings  Ltd,3.419
514,Horiba  Ltd,2.328
515,Hoshizaki  Electric Co  Ltd,735
516, Resorts  Inc,4.797
517,Howmet    Aerospace    Inc,15.603
518,Hoya  Corp,9.633
519,HP  Inc,20.814
520,HSBC   HOLDINGS    PLC,1.727
521,Huatai  Securities Co  Ltd,645
522,Hubbell  Inc,1.774
523,HubSpot   Inc,5.139
524,Hulic Co  Ltd,460
525,Hundsun    Technologies   Inc,166
526,  OH,9.269
527,Hydro   One  Ltd,5.671
528, Energy   Syst,3.774
529,Hyundai   Glovis Co  Ltd,961
530,Hyundai   Heavy  Industries  Co  Ltd,6.842
531, Fire Insuranc,587
532,Hyundai   Mobis,10.333
533,iA Financial Corp  Inc,718
534,IBM  CORP,34.671
535,ICICI Lombard   General   Insuranc,7.344
536,Idex Corp,2.534
537,IG Group   Holdings  PLC,11.487
538,IGM   Financial Inc,1.892
539,Illinois Tool Works  Inc,13.617
540,Illumina  Inc,4.875
541,Indian  Hotels Co  Ltd,5.771
542,Indraprastha   Gas  Ltd,3.683
543,Industrial Bank  Co  Ltd,768
544,Industrial Bank  of Korea,8.150
545,Industrivarden   AB,302
546,Info Edge  India Ltd,13.660
547,INFORMA     PLC,2.884
548,Infosys  Ltd,32.422
