Shareholder - Name	Issuer - Name	Issuer - Country Name	Issuer - Sector	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
PensionDanmark	Spotify Technology	Sweden	Movies & Entertainment	2025-12-31	59.72	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Bank of America	United states	Diversified Banks	2025-12-31	59.07	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Prosus	Netherlands	Broadline Retail	2025-12-31	57.08	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	UBS Group	Switzerland	Diversified Capital Markets	2025-12-31	56.50	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Orsted	Denmark	Renewable Electricity 	2025-12-31	53.22	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Airbus	France	Aerospace & Defense	2025-12-31	52.77	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	General Electric	United states	Aerospace & Defense	2025-12-31	52.37	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Coloplast	Denmark	Health Care Supplies	2025-12-31	52.19	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Procter & Gamble	United states	Household Products	2025-12-31	51.57	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Oracle	United states	Systems Software	2025-12-31	51.49	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Micron Technology	United states	Semiconductors	2025-12-31	51.43	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Iberdrola	Spain	Electric Utilities	2025-12-31	51.14	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	SK Hynix	South Korea	Semiconductors	2025-12-31	50.40	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	NKT	Denmark	Electrical Components & Equipment	2025-12-31	50.19	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Uber Technologies	United states	Passenger Ground Transportation	2025-12-31	49.89	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Deutsche Telekom	Germany	Integrated Telecommunication Services	2025-12-31	49.82	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Chevron	United states	Integrated Oil & Gas	2025-12-31	49.61	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Banco Bilbao Vizcaya Argentaria	Spain	Diversified Banks	2025-12-31	49.07	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Salesforce	United states	Application Software	2025-12-31	48.47	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	TotalEnergies	France	Integrated Oil & Gas	2025-12-31	47.75	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Cie Financiere Richemont	Switzerland	Apparel, Accessories & Luxury Goods	2025-12-31	47.43	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	UniCredit	Italy	Diversified Banks	2025-12-31	47.43	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	BAE Systems	United Kingdom	Aerospace & Defense	2025-12-31	46.55	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	UnitedHealth	United states	Managed Health Care	2025-12-31	46.28	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Wells Fargo	United states	Diversified Banks	2025-12-31	46.06	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	ABB	Switzerland	Electrical Components & Equipment	2025-12-31	45.92	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Safran	France	Aerospace & Defense	2025-12-31	45.86	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Tryg	Denmark	Property & Casualty Insurance	2025-12-31	45.76	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Sanofi	France	Pharmaceuticals	2025-12-31	45.38	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Cisco Systems	United states	Communications Equipment	2025-12-31	44.47	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Home Depot	United states	Home Improvement Retail	2025-12-31	44.42	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Coca-Cola	United states	Soft Drinks & Non-alcoholic Beverages	2025-12-31	44.41	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	RTX Corp	United states	Aerospace & Defense	2025-12-31	43.18	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	International Business Machines	United states	IT Consulting & Other Services	2025-12-31	42.55	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Siemens Energy	Germany	Heavy Electrical Equipment	2025-12-31	42.16	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Pandora	Denmark	Apparel, Accessories & Luxury Goods	2025-12-31	41.35	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Shopify	Canada	Internet Services & Infrastructure	2025-12-31	41.13	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Intesa Sanpaolo	Italy	Diversified Banks	2025-12-31	40.15	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	BNP Paribas	France	Diversified Banks	2025-12-31	39.94	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	DoorDash	United states	Restaurants	2025-12-31	39.70	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	ServiceNow	United states	Systems Software	2025-12-31	39.17	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Merck	United states	Pharmaceuticals	2025-12-31	39.08	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Zurich Insurance	Switzerland	Multi-line Insurance	2025-12-31	38.92	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Saab	Sweden	Aerospace & Defense	2025-12-31	38.55	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Citigroup	United states	Diversified Banks	2025-12-31	38.38	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Zealand Pharma	Denmark	Biotechnology	2025-12-31	38.29	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Walt Disney	United states	Movies & Entertainment	2025-12-31	38.28	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Goldman Sachs	United states	Investment Banking & Brokerage	2025-12-31	38.23	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	HSBC Holdings	United Kingdom	Diversified Banks	2025-12-31	38.13	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	AstraZeneca	United Kingdom	Pharmaceuticals	2025-12-31	37.99	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Thermo Fisher Scientific	United states	Life Sciences Tools & Services	2025-12-31	37.85	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	MercadoLibre	Uruguay	Broadline Retail	2025-12-31	37.36	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
