Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	RAYSEARCH LABORATORIES AB	Equity	SE0000135485	2026-02-23	94,223	SEK	RAYB SS	413,260.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SKANDINAVISKA ENSKILDA BAN-A	Equity	SE0000148884	2026-02-23	2,177,394	SEK	SEBA SS	11,160,398.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SECURITAS AB-B SHS	Equity	SE0000163594	2026-02-23	89,792	SEK	SECUB SS	610,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELEKTA AB-B SHS	Equity	SE0000163628	2026-02-23	86,317	SEK	EKTAB SS	1,521,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HUFVUDSTADEN AB-A SHS	Equity	SE0000170375	2026-02-23	124,000	SEK	HUFVA SS	1,000,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SSAB AB-A SHARES	Equity	SE0000171100	2026-02-23	3,524	SEK	SSABA SS	50,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INDUSTRIVARDEN AB-A SHS	Equity	SE0000190126	2026-02-23	116,312	SEK	INDUA SS	280,000.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BURE EQUITY AB	Equity	SE0000195810	2026-02-23	121,738	SEK	BURE SS	493,267.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GETINGE AB-B SHS	Equity	SE0000202624	2026-02-23	592,872	SEK	GETIB SS	2,709,654.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWEDBANK AB - A SHARES	Equity	SE0000242455	2026-02-23	2,257,833	SEK	SWEDA SS	7,031,558.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
