Shareholder - Name	Issuer - Name	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
AP3	COOR SERVICE MANAGEMENT	SE0007158829	2025-02-11	61,545	SEK	1794313	1.87	1.87	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DOMETIC GROUP AB	SE0007691613	2025-02-11	297,282	SEK	5716970	1.79	1.79	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VICORE PHARMA HOLDING AB	SE0007577895	2025-02-11	32,973	SEK	3902100	1.66	1.66	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELECTROLUX AB-B	SE0016589188	2025-02-11	430,314	SEK	4682417	1.65	1.31	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BIOGAIA AB-B SHS	SE0017769995	2025-02-11	182,397	SEK	1630000	1.61	1.21	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AFRY AB	SE0005999836	2025-02-11	277,822	SEK	1807558	1.60	1.19	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BETTER COLLECTIVE A/S	DK0060952240	2025-02-11	111,400	SEK	1000000	1.59	1.59	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EPISURF MEDICAL AB-B SHS	SE0003491562	2025-02-11	1,365	SEK	9980000	1.53	1.53	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NCAB GROUP AB	SE0017160773	2025-02-11	183,252	SEK	2841123	1.52	1.52	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	K-FAST HOLDING AB	SE0016101679	2025-02-11	61,790	SEK	3630421	1.48	1.08	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALLIGO AB-B	SE0009922305	2025-02-11	90,434	SEK	734040	1.44	1.31	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BIOARCTIC AB	SE0010323311	2025-02-11	238,245	SEK	1194212	1.35	0.55	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NIBE INDUSTRIER AB-B SHS	SE0015988019	2025-02-11	1,142,326	SEK	26418279	1.31	0.64	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	XANO INDUSTRI AB -CLASS B	SE0018014151	2025-02-11	43,745	SEK	778384	1.31	0.41	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SSAB AB - B SHARES	SE0000120669	2025-02-11	541,163	SEK	12324376	1.24	0.34	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CTEK AB	SE0016798763	2025-02-11	11,721	SEK	843259	1.21	1.21	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AVANZA BANK HOLDING AB	SE0012454072	2025-02-11	493,380	SEK	1807914	1.15	1.15	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ITAB SHOP CONCEPT AB	SE0015962097	2025-02-11	59,913	SEK	2866667	1.11	1.13	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JM AB	SE0000806994	2025-02-11	116,830	SEK	700000	1.09	1.09	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MUNTERS GROUP AB	SE0009806607	2025-02-11	368,444	SEK	1980882	1.07	1.07	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELEKTA AB-B SHS	SE0000163628	2025-02-11	242,565	SEK	3966719	1.03	0.77	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	GETINGE AB-B SHS	SE0000202624	2025-02-11	507,686	SEK	2796398	1.03	0.64	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MYCRONIC AB	SE0000375115	2025-02-11	399,441	SEK	1000103	1.02	1.02	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BONESUPPORT HOLDING AB	SE0009858152	2025-02-11	259,753	SEK	671544	1.01	1.02	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BURE EQUITY AB	SE0000195810	2025-02-11	282,980	SEK	741173	0.99	1.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NYFOSA AB	SE0011426428	2025-02-11	218,894	SEK	2028674	0.97	0.97	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FABEGE AB	SE0011166974	2025-02-11	264,873	SEK	3198945	0.97	0.97	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EVOLUTION AB	SE0012673267	2025-02-11	1,735,586	SEK	2035162	0.96	0.96	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FORTNOX AB	SE0017161243	2025-02-11	416,538	SEK	5777233	0.95	0.95	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PLATZER FASTIGHETER HOLD-B	SE0004977692	2025-02-11	95,556	SEK	1115000	0.93	0.37	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RATOS AB-B SHS	SE0000111940	2025-02-11	94,020	SEK	3000000	0.92	0.28	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BEIJER REF AB	SE0015949748	2025-02-11	755,194	SEK	4630252	0.91	0.61	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	STORSKOGEN GROUP AB-B	SE0016797732	2025-02-11	174,895	SEK	15201615	0.90	0.51	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LINDAB INTERNATIONAL AB	SE0001852419	2025-02-11	156,142	SEK	681247	0.86	0.86	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CASTELLUM AB	SE0000379190	2025-02-11	505,025	SEK	4189343	0.85	0.85	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WIHLBORGS FASTIGHETER AB	SE0018012635	2025-02-11	262,971	SEK	2509265	0.82	0.82	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MIPS AB	SE0009216278	2025-02-11	101,573	SEK	215929	0.82	0.82	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AAK AB	SE0011337708	2025-02-11	666,975	SEK	2113357	0.81	0.81	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEXAGON AB-B SHS	SE0015961909	2025-02-11	2,312,457	SEK	21898265	0.81	0.59	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SINCH AB	SE0016101844	2025-02-11	140,783	SEK	6791287	0.80	0.80	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ADDNODE GROUP AB	SE0017885767	2025-02-11	110,921	SEK	1068603	0.79	0.63	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SANDVIK AB	SE0000667891	2025-02-11	1,910,736	SEK	9635583	0.77	0.77	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELECTROLUX PROFESSIONAL AB-B	SE0013747870	2025-02-11	151,182	SEK	2207042	0.77	0.61	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NEW WAVE GROUP AB -B SHS	SE0020356970	2025-02-11	98,524	SEK	1014145	0.76	0.21	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	DIOS FASTIGHETER AB	SE0001634262	2025-02-11	83,714	SEK	1057000	0.75	0.75	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALLEIMA AB	SE0017615644	2025-02-11	139,381	SEK	1855935	0.74	0.74	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HUSQVARNA AB-B SHS	SE0001662230	2025-02-11	232,841	SEK	4032578	0.70	0.26	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VITROLIFE AB	SE0011205202	2025-02-11	202,868	SEK	943574	0.70	0.70	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HMS NETWORKS AB	SE0009997018	2025-02-11	147,820	SEK	340756	0.68	0.68	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PANDOX AB	SE0007100359	2025-02-11	248,734	SEK	1296843	0.67	0.38	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CELLAVISION AB	SE0000683484	2025-02-11	34,031	SEK	156464	0.66	0.66	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SKANSKA AB-B SHS	SE0000113250	2025-02-11	640,036	SEK	2750475	0.66	0.46	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWEDISH ORPHAN BIOVITRUM AB	SE0000872095	2025-02-11	740,045	SEK	2331586	0.65	0.65	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BILLERUD AB	SE0000862997	2025-02-11	165,599	SEK	1633128	0.65	0.65	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ATLAS COPCO AB-B SHS	SE0017486897	2025-02-11	4,797,855	SEK	32103413	0.65	0.09	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVENSKA HANDELSBANKEN-A SHS	SE0007100599	2025-02-11	1,469,944	SEK	12871660	0.65	0.66	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWEDBANK AB - A SHARES	SE0000242455	2025-02-11	1,598,045	SEK	7320408	0.65	0.65	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BOLIDEN AB	SE0020050417	2025-02-11	542,989	SEK	1748757	0.64	0.64	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EPIROC AB-B	SE0015658117	2025-02-11	1,308,866	SEK	7592032	0.63	0.09	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HEXPOL AB	SE0007074281	2025-02-11	214,618	SEK	2087721	0.61	0.44	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLVO AB-B SHS	SE0000115446	2025-02-11	3,307,811	SEK	12315006	0.61	0.20	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ESSITY AKTIEBOLAG-B	SE0009922164	2025-02-11	1,254,416	SEK	4242190	0.60	0.34	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALFA LAVAL AB	SE0000695876	2025-02-11	1,151,671	SEK	2489562	0.60	0.60	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INWIDO AB	SE0006220018	2025-02-11	64,164	SEK	345900	0.60	0.60	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	THULE GROUP AB/THE	SE0006422390	2025-02-11	215,937	SEK	632135	0.59	0.59	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NP3 FASTIGHETER AB	SE0006342333	2025-02-11	142,500	SEK	570000	0.55	0.87	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HUFVUDSTADEN AB-A SHS	SE0000170375	2025-02-11	133,909	SEK	1105775	0.52	0.11	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	XVIVO PERFUSION AB	SE0004840718	2025-02-11	80,520	SEK	164662	0.52	0.52	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SAAB AB-B	SE0021921269	2025-02-11	663,708	SEK	2840000	0.52	0.45	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EQT AB	SE0012853455	2025-02-11	1,945,893	SEK	6357049	0.51	0.51	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	RAYSEARCH LABORATORIES AB	SE0000135485	2025-02-11	37,800	SEK	175000	0.51	0.17	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TRELLEBORG AB-B SHS	SE0000114837	2025-02-11	456,757	SEK	1206438	0.50	0.24	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FAGERHULT GROUP AB	SE0010048884	2025-02-11	47,272	SEK	873788	0.49	0.49	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HENNES & MAURITZ AB-B SHS	SE0000106270	2025-02-11	1,164,564	SEK	7810625	0.48	0.23	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SKANDINAVISKA ENSKILDA BAN-A	SE0000148884	2025-02-11	1,523,420	SEK	10058898	0.48	0.48	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ERICSSON LM-B SHS	SE0000108656	2025-02-11	1,412,499	SEK	15715383	0.47	0.28	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
