Shareholder - Name	Issuer - Name	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
AP3	SDIPTECH AB - B	SE0003756758	2025-02-11	24,256	SEK	102000	0.26	0.19	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NORDEA BANK ABP	FI4000297767	2025-02-11	1,078,435	SEK	8964546	0.26	0.26	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MODERN TIMES GROUP-B SHS	SE0018012494	2025-02-11	31,036	SEK	327042	0.25	0.25	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	PEAB AB-CLASS B	SE0000106205	2025-02-11	59,400	SEK	750000	0.25	0.12	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	AXFOOD AB	SE0006993770	2025-02-11	123,949	SEK	529698	0.24	0.24	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LUNDBERGS AB-B SHS	SE0000108847	2025-02-11	298,104	SEK	595017	0.24	0.05	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HOLMEN AB-B SHARES	SE0011090018	2025-02-11	155,205	SEK	382089	0.24	0.07	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INVESTOR AB-A SHS	SE0015811955	2025-02-11	1,998,569	SEK	6839730	0.22	0.48	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INDUSTRIVARDEN AB-A SHS	SE0000190126	2025-02-11	322,357	SEK	922602	0.21	0.36	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EOLUS VIND AB-B SHS	SE0007075056	2025-02-11	2,400	SEK	50000	0.20	0.14	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ARJO AB - B SHARES	SE0010468116	2025-02-11	19,037	SEK	525000	0.19	0.12	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SECTRA AB-B SHS	SE0022419784	2025-02-11	102,497	SEK	370493	0.19	0.12	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CINT GROUP AB	SE0015483276	2025-02-11	5,064	SEK	400000	0.19	0.19	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TOBII AB	SE0002591420	2025-02-11	941	SEK	440000	0.19	0.19	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ALIMAK GROUP AB	SE0007158910	2025-02-11	23,480	SEK	200000	0.19	0.19	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INSTALCO AB	SE0017483506	2025-02-11	15,418	SEK	467782	0.18	0.18	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SECURITAS AB-B SHS	SE0000163594	2025-02-11	136,900	SEK	1000000	0.17	0.12	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	APOTEA SVERIGE AB	SE0023313762	2025-02-11	14,709	SEK	175000	0.17	0.17	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	BILIA AB-A SHS	SE0009921588	2025-02-11	18,105	SEK	150000	0.16	0.16	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ATRIUM LJUNGBERG AB-B SHS	SE0000191827	2025-02-11	39,640	SEK	200000	0.15	0.12	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENGCON AB	SE0017769847	2025-02-11	20,920	SEK	200000	0.13	0.04	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	LIFCO AB-B SHS	0	2025-02-11	191,253	SEK	596547			https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ERICSSON LM-A SHS	SE0000108649	2025-02-11	394,288	SEK	4390736	0.13	0.77	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INDUSTRIVARDEN AB-C SHS	SE0000107203	2025-02-11	177,579	SEK	508676	0.12	0.02	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	MEDICOVER AB - B SHARE	SE0009778848	2025-02-11	33,792	SEK	176000	0.11	0.02	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ABB LTD-REG	CH0012221716	2025-02-11	1,236,255	SEK	2076343	0.11	0.11	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	STORA ENSO OYJ-R SHS	FI0009007611	2025-02-11	92,770	SEK	832019	0.11	0.04	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NCC AB-B SHS	SE0000117970	2025-02-11	16,298	SEK	100360	0.10	0.06	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	STILLFRONT GROUP AB	SE0015346135	2025-02-11	4,178	SEK	500000	0.10	0.10	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TRATON SE	DE000TRAT0N7	2025-02-11	150,887	SEK	473000	0.09	0.09	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	CATENA AB	SE0001664707	2025-02-11	23,650	SEK	50000	0.08	0.08	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SANIONA AB	SE0005794617	2025-02-11	696	SEK	86556	0.08	0.08	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ASTRAZENECA PLC	GB0009895292	2025-02-11	1,489,389	SEK	1029650	0.07	0.07	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NOBIA AB	SE0000949331	2025-02-11	769	SEK	200000	0.03	0.03	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLVO AB-A SHS	SE0000115420	2025-02-11	97,304	SEK	360118	0.02	0.06	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ATLAS COPCO AB-A SHS	SE0017486889	2025-02-11	119,750	SEK	709209	0.01	0.02	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	NOKIA OYJ	FI0009000681	2025-02-11	29,346	SEK	600000	0.01	0.01	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SSAB AB-A SHARES	SE0000171100	2025-02-11	45	SEK	1000	0.00	0.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EPIROC AB-A	SE0015658109	2025-02-11	193	SEK	1000	0.00	0.00	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
