Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Bond - Maturity Date	Data Source URL
AP3	EDP SA	Corporates	4	2025-08-26	84,002	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EDP SA	Corporates	PTEDPYOM0020	2025-08-26	111,468	EUR	6/14/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EDP SA	Corporates	PTEDPSOM0002	2025-08-26	137,962	EUR	3/16/2031	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EDP SA	Corporates	PTEDPZOM0011	2025-08-26	172,628	EUR	2/28/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EDP SA	Corporates	XS2233217558	2025-08-26	348,872	USD	1/24/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELEKTA AB	Corporates	SE0016274278	2025-08-26	158,314	SEK	12/14/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELLEVIO	Corporates	6	2025-08-26	4,816,151	SEK		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ELLEVIO HOLDING	Corporates	AB	2025-08-26	1	SEK		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENBW ENERGIE BADEN-WUERTTEMBERG AG	Corporates	XS2381277008	2025-08-26	48,952	EUR	5/31/2032	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENBW ENERGIE BADEN-WUERTTEMBERG AG	Corporates	XS2942479044	2025-08-26	114,690	EUR	8/20/2035	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENBW ENERGIE BADEN-WUERTTEMBERG AG	Corporates	XS2722717555	2025-08-26	118,354	EUR	5/23/2034	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENBW ENERGIE BADEN-WUERTTEMBERG AG	Corporates	XS2751678272	2025-08-26	235,243	EUR	10/23/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	XS2770512064	2025-08-26	40,479	EUR	2/27/2029	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	XS2975137964	2025-08-26	56,602	EUR	10/14/2032	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	XS2576550086	2025-08-26	63,760	EUR	4/16/2028	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	XS2390400807	2025-08-26	70,850	EUR	6/30/2034	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	XS2353182376	2025-08-26	82,909	EUR	6/17/2036	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	6	2025-08-26	139,422	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	XS2975137618	2025-08-26	227,905	EUR	1/14/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENEL SPA	Corporates	XS2576550243	2025-08-26	336,417	EUR	4/16/2031	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENGIE SA	Corporates	12	2025-08-26	117,321	EUR		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENGIE SA	Corporates	FR001400QOK5	2025-08-26	127,879	EUR	3/14/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ENGIE SA	Corporates	FR001400QOL3	2025-08-26	234,972	EUR	3/14/2033	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EPIROC AB	Corporates	XS2258568695	2025-08-26	133,555	SEK	5/18/2026	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EQUINIX INC	Corporates	XS3073596770	2025-08-26	112,763	EUR	5/19/2034	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HOLMEN AB	Corporates	SE0023440326	2025-08-26	82,595	SEK	6/17/2030	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	HOLMEN AB	Corporates	9	2025-08-26	86,468	SEK		https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
